country_code,country_name,indicator_name,indicator_code,year,value,source_url,fetch_ts
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2016,101644589.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261109
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2015,99597342.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261119
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2014,97528654.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261129
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2013,95333553.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261139
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2012,93161001.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261149
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2011,91093059.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261159
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2010,89196072.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261169
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2009,87501636.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261180
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2008,85864789.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261191
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2007,84276225.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261201
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2006,82700403.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261216
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2005,81101004.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261227
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2004,79477443.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261237
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2003,77853548.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261247
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2002,76239137.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261257
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2001,74652029.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261267
EGY,"Egypt, Arab Rep.",POPULATION,SP.POP.TOTL,2000,73083284.0,https://api.worldbank.org/v2/country/EGY/indicator/SP.POP.TOTL?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.261277
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2023,71.633,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294689
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2022,71.01,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294750
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2021,68.976,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294764
EGY,"Egypt, Arab Rep.",LIFE_EXP,SP.DYN.LE00.IN,2020,69.79,https://api.worldbank.org/v2/country/EGY/indicator/SP.DYN.LE00.IN?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.294775
